mpf-reviewed+properties-v2, 1998, 1534, half, cl, ('Half', 'Chlorine')
mpf-reviewed+properties-v2, 1998, 1534, half, sulfur, ('Half', 'Sulfur')
mpf-reviewed+properties-v2, 1998, 1711, barnacle bill, al, ('Barnacle_Bill', 'Aluminum')
mpf-reviewed+properties-v2, 1998, 1711, barnacle bill, cl k, ('Barnacle_Bill', 'Chlorine Potassium')
mpf-reviewed+properties-v2, 1998, 1711, lamb, al, ('Lamb', 'Aluminum')
mpf-reviewed+properties-v2, 1998, 1711, lamb, cl k, ('Lamb', 'Chlorine Potassium')
mpf-reviewed+properties-v2, 1998, 1711, lamb, na, ('Lamb', 'Sodium')
mpf-reviewed+properties-v2, 1998, 1711, mermaid, al, ('Mermaid', 'Aluminum')
mpf-reviewed+properties-v2, 1998, 1711, mermaid, cl al ti, ('Mermaid', 'Chlorine Aluminum Titanium')
mpf-reviewed+properties-v2, 1998, 1711, mermaid, cl k, ('Mermaid', 'Chlorine Potassium')
mpf-reviewed+properties-v2, 1998, 1711, mermaid, na cr ni ar, ('Mermaid', 'Sodium Chromium Nickel Argon')
mpf-reviewed+properties-v2, 1998, 1711, mermaid, na, ('Mermaid', 'Sodium')
mpf-reviewed+properties-v2, 1998, 1711, mermaid, si, ('Mermaid', 'Silicon')
mpf-reviewed+properties-v2, 1998, 1711, scooby doo, al, ('Scooby_Doo', 'Aluminum')
mpf-reviewed+properties-v2, 1998, 1711, scooby doo, cl k, ('Scooby_Doo', 'Chlorine Potassium')
mpf-reviewed+properties-v2, 1998, 1711, scooby doo, fe al s cl ar ca ti mn na, ('Scooby_Doo', 'Iron Aluminum Sulfur Chlorine Argon Calcium Titanium Manganese Sodium')
mpf-reviewed+properties-v2, 1998, 1711, scooby doo, mg cr, ('Scooby_Doo', 'Magnesium Chromium')
mpf-reviewed+properties-v2, 1998, 1711, scooby doo, mg k, ('Scooby_Doo', 'Magnesium Potassium')
mpf-reviewed+properties-v2, 1998, 1711, scooby doo, na, ('Scooby_Doo', 'Sodium')
mpf-reviewed+properties-v2, 1998, 1711, scooby doo, si, ('Scooby_Doo', 'Silicon')
