Activity Sol,Location,Feature,Target Name,Target Type,Site,Drive,x,y,z,u,v,w,Image ID,i,j,Target Notes
13, Plains,First_Soil,First_Soil1_Final,Soil,3,9,0.406622,-0.859749,0.275765,0.095748,-0.031037,-0.994659,2F127436154FFL0309P1003L0M1,593,580,
17, Plains,Adirondack,Prospect,Rock,3,27,-3.12262,-0.991388,0.046595,0.808194,0.537922,-0.239715,2F127703379FFL0327P1214L0M1,537,454,
33, Plains,Adirondack,Blue,Rock,3,27,-3.08479,-0.864048,0.132294,0.579051,0.431888,-0.690718,2F127703379FFL0327P1214L0M1,486,491,
39, Plains,Areba,Sideslope2,Soil,4,0,0.880608,1.20065,0.257795,0.151436,-0.21452,-0.964999,2F129653855FFL0400P1210L0M1,590,451,
41, Plains,Arena,Trough,Soil,5,6,1.78825,1.01536,0.290601,0.02138,-0.379444,-0.924968,2F129914137FFL0506P1210L0M1,483,527,
41, Plains,Arena,Crest,Soil,5,6,1.59,1.06,0.28,,,,2F129914137FFL0506P1210L0M1,537,568,
42, Plains,Mimi_Shoe,Lace,Rock,5,14,0.911943,1.50831,0.175788,0.066129,-0.216737,-0.97402,2F130011182FFL0514P1210L0M1,569,549,
43, Plains,Mimi_Tracks,Tracks,Soil,5,14,0.80274,1.364785,0.215856,0.043237,-0.105595,-0.993472,2F130011182FFL0514P1210L0M1,610,629,
44, Plains,Ramp_Flats,Soil1,Soil,7,0,0.63,0.9,0.25,,,,2F130196049FFL0700P1210L0M1,562,531,
45, Plains,Angel_Flats,Halo_01,Soil,8,0,0.921294,0.499053,0.241808,-0.125484,0.057161,-0.990434,2F130277389FFL0800P1210L0M1,482,548,
46, Plains,Grande_Flats,Trout1,Soil,9,0,0.506612,0.938411,0.284358,0.115894,0.006593,-0.993387,2F130364765FFL0900P1210L0M1,498,534,
48, Plains,Road_Cut,Wall_MI_only1,Trench,9,167,0.373467,0.912738,0.307812,-0.29839,-0.755875,-0.582767,2F130537129FFL09BVR2500L0M1,516,510,
48, Plains,Road_Cut,Below_Wall_MI_only1,Trench,9,167,0.370025,0.904995,0.333372,-0.270591,-0.81841,-0.506936,2F130537129FFL09BVR2500L0M1,516,518,
48, Plains,Road_Cut,Floor3,Trench,9,167,0.166906,0.86915,0.36143,0.336823,0.182962,-0.923621,2F130537129FFL09BVR2500L0M1,582,553,
49, Plains,Road_Cut,Dividing_Line,Trench,9,167,0.198955,0.961894,0.311135,-0.12785,-0.897609,-0.421843,2F130537129FFL09BVR2500L0M1,581,516,
49, Plains,Road_Cut,Mason_Dixon,Trench,9,167,0.239242,0.954098,0.318543,-0.099636,-0.892896,-0.437387,2F130537129FFL09BVR2500L0M1,566,516,
49, Plains,Road_Cut,Wall3,Trench,9,167,0.449188,0.880324,0.309533,-0.306809,-0.791739,-0.526536,2F130537129FFL09BVR2500L0M1,487,511,
51, Plains,Split_Rock_Flats,Soil2,Soil,10,0,0.794082,0.569496,0.303451,0.163182,0.092263,-0.982273,2F130806861FFL1000P1210L0M1,506,561,
52, Plains,Sugar,SugarT1,Soil,11,0,0.765363,-0.580744,0.246688,-0.165992,0.058717,-0.984758,2F130897419FFL1100P1210L0M1,451,568,
54, Plains,Wrinkle,Ridge1,Soil,11,24,3.23,1.53,0.45,,,,2F131063369FFL1124P1214L0M1,603,545,
