Activity Sol,Location,Feature,Target Name,Target Type,Site,Drive,x,y,z,u,v,w,Image ID,i,j,Target Notes
9,Eagle Crater,Merlot,Sidewalk,Soil,2,24,3.623359,1.942133,0.521961,-0.156711,-0.065777,-0.985537,1F128894921FFL0224P1003L0M1,485,532,
10,Eagle Crater,Merlot,Tarmac,Soil,2,24,3.8268,1.89307,0.497514,-0.147065,-0.058408,-0.987326,1F128894921FFL0224P1003L0M1,435,494,
14,Eagle Crater,Stone_Mountain,Wit,Rock,3,0,0.565013,0.798753,0.090991,-0.192599,-0.326345,-0.925421,1F129338174FFL0300P1104L0M1,562,575,Feature formally 'Snout'.
15,Eagle Crater,Stone_Mountain,Robert_E,Rock,3,12,1.328849,1.552578,-0.23519,-0.341981,-0.762463,-0.550382,1F129431053FFL0312P1104L0M1,492,490,
15,Eagle Crater,Stone_Mountain,Piedmont,Soil,3,12,1.270631,1.429395,-0.138287,-0.075208,-0.117161,-0.989829,1F129431053FFL0312P1104L0M1,478,553,
17,Eagle Crater,Berry_Flats,Freckles,Soil,3,22,1.391426,-1.530579,0.130764,-0.119225,-0.046057,-0.991733,1F129604683FFL0322P1214L0M1,467,546,
18,Eagle Crater,Bravo_Flats,Dark_Nuts,Soil,3,38,1.967413,-4.505089,-0.118781,-0.174773,0.116896,-0.977634,1F129697634FFL0338P1214L0M1,490,521,
20,Eagle Crater,Charlie_Flats,Flashy2,Soil,3,52,0.504418,-8.437986,-0.14482,-0.170507,0.103649,-0.97987,1F129882679FFL0352P1202L0M1,588,582,
22,Eagle Crater,Hematite_Slope,Hema2,Soil,3,82,-6.829415,-9.704879,0.067333,0.04258,0.10868,-0.993077,1F130053234FFL0382P1214L0M1,562,551,
23,Eagle Crater,Hematite_Slope,Hema_Track1,Soil,3,82,-6.690743,-9.510213,0.102562,0.014658,0.107974,-0.994121,1F130053234FFL0382P1214L0M1,645,518,
24,Eagle Crater,Big_Dig,Hema_Trench_Wall2,Trench,4,0,1.025731,-0.597246,0.304849,-0.615086,0.635624,-0.467193,1F130227421FFL0400R0013L0M1,533,504,
24,Eagle Crater,Big_Dig,Hema_Trench1,Trench,4,0,0.888251,-0.611694,0.370533,0.265248,0.030458,-0.963357,1F130227421FFL0400R0013L0M1,508,551,
25,Eagle Crater,Big_Dig,Hema_Trench_Wall,Trench,4,0,1.084126,-0.503489,0.306308,-0.767529,0.270864,-0.580974,1F130227421FFL0400R0013L0M1,573,499,
25,Eagle Crater,Big_Dig,Hema_Trench_Wall2_Below,Trench,4,0,1.01474,-0.594217,0.326814,-0.682956,0.590553,-0.429905,1F130227421FFL0400R0013L0M1,533,512,
25,Eagle Crater,Big_Dig,Hema_Trench_Wall5,Trench,4,0,1.02145,-0.520096,0.348141,-0.410451,0.067812,-0.909358,1F130227421FFL0400R0013L0M1,559,522,
27,Eagle Crater,Crater_Floor,Red_Sea2,Soil,4,48,12.686673,4.228251,-0.663901,-0.259256,-0.071331,-0.963689,1F130501351FFL0448P1210L0M1,508,607,
