anPlaceId,frame,i,id,imageId,normalEstimated,j,locationEstimated,name,notes,owner,priority,rmc,site,pos,rsvpId,sol,u,v,w,writeProtected,x,y,z,version,anProcStatus,hasProductMatches,areProductMatchesUpToDate,anLocatorImageId
71850,LOCAL_LEVEL,627.8479614,6c2e121f-7fd4-4f61-9102-f115361d81c2,NLA_408594521RAS_F0051398NCAM05134M_,1,466.155426,1,New Target,,bridges,,"5, 1398",5,1398,,126,0.177668739,0.410039658,-0.894595597,0,-0.634688086,-5.302731298,-0.763950265,0,NULL,NULL,NULL,NULL
71862,LOCAL_LEVEL,160.1712952,6faa458d-f5a1-4144-a9c5-24dedcda994e,NLA_408775038RAS_F0051576NCAM05703M_,1,295.9841614,1,New Target,,dlblaney,,"5, 1576",5,1576,,130,-0.120925756,0.160524474,-0.979596293,0,7.92832659,-1.113382422,-1.114568203,0,NULL,NULL,NULL,NULL
72037,LOCAL_LEVEL,649.4226766,5f58564a-80de-490e-9360-732b06a356b4,NLA_411614614RAS_F0051986NCAM00346M_,1,87.42449791,1,New Target,,pvmeslin,,"5, 1986",5,1986,,160,0,0,-1,0,-3.652019856,-2.601359058,-4.81E-08,0,NULL,NULL,NULL,NULL
72039,LOCAL_LEVEL,52.19411157,b1f073ce-2b4c-45ac-9603-2cd179d0e62e,NLA_411614898RAS_F0051986NCAM00355M_,1,585.436436,1,New Target,,dharker,,"5, 1986",5,1986,,160,0,0,-1,0,-1.011081041,-3.310709528,-3.33E-08,0,NULL,NULL,NULL,NULL
72045,LOCAL_LEVEL,529.9377486,b45efed0-42ae-4b7f-b82f-6e00d410b588,NLA_411701878RAS_F0051986NCAM00207M_,1,459.900336,1,New Target,,dlblaney,,"5, 1986",5,1986,,161,0,0,-1,0,-3.780207746,-1.820896807,-0.000518958,0,NULL,NULL,NULL,NULL
72046,LOCAL_LEVEL,704.1501465,db9724bd-136e-4ea6-95b7-2370060fc308,NLA_411604686RAS_F0051954NCAM00207M_,1,274.9275513,1,Ungava_ChemCam,,dlblaney,,"5, 1954",5,1954,,161,0.125178222,0.424598148,-0.896686573,0,-2.196856105,-0.982095083,-0.520846977,0,NULL,1,1,NULL
72060,LOCAL_LEVEL,538.3751922,af3c524f-00de-4094-b57e-88adde65fee6,NLA_411614898RAS_F0051986NCAM00355M_,1,81.55884585,1,mcam_vantage_point_starting_target,,krezoski,,"5, 1986",5,1986,,162,-0.091373404,0.094331377,-0.991338731,0,0.672537646,-4.997310547,-0.388786706,0,NULL,1,1,NULL
72070,LOCAL_LEVEL,344.8624573,e054385a-9709-491a-b1bf-abd247503fba,NLA_411960979RAS_F0052200NCAM00359M_,1,649.2770996,1,New Target,,stack,,"5, 2200",5,2200,,164,-0.124591707,0.021788295,-0.991968827,0,0.386197861,-2.352772648,-0.303779104,0,NULL,NULL,NULL,NULL
72263,LOCAL_LEVEL,756.6607056,b905efb9-6fc4-4198-b0d3-de8520bfdec8,NLA_412507414RAS_F0060000NCAM05794M_,1,787.6842651,1,Test,,ledgar,,"6, 0",6,0,,217,0,0,0,0,-20.73680847,-12.30631724,-2.45506487,0,NULL,1,1,NLA_412507414RADLF0060000NCAM05794M1
72264,LOCAL_LEVEL,438.9000148,efa59e0b-50e4-4a9d-b122-85a24431e3af,NLA_412507414RAS_F0060000NCAM05794M_,1,788.9515125,1,Test2,,ledgar,,"6, 0",6,0,,217,0,0,-1,0,-15.24934932,-4.554214974,-2.181572701,0,NULL,1,1,NLA_412507414RADLF0060000NCAM05794M1
