SOL,TARGET_CCA,TARGET,TARGET_MSL,EASTING_M,NORTHING_M,ELEV_M,LATITUDE,LONGITUDE
12,Coronation,Coronation,Coronation_LIBS_Pointing,8146812.927,-272041.7853,-4500.984422,-4.589509464,137.4416617
13,Blanchet,Blanchet,Blanchet,8146811.444,-272041.2911,-4500.86006,-4.589501127,137.4416367
13,Coronation,Coronation,Coronation_LIBS_Pointing,8146812.927,-272041.7853,-4500.984422,-4.589509464,137.4416617
13,Goulburn_1,Goulburn,Goulburn_1,8146813.9,-272035.327,-4501.294318,-4.58940051,137.4416782
13,Wolverine,Wolverine,Wolverine,8146810.974,-272040.8215,-4500.851035,-4.589493205,137.4416288
14,Goulburn_2,Goulburn,Goulburn_2_CCAM_pointing,8146813.807,-272035.3005,-4501.291682,-4.589400062,137.4416766
14,Goulburn_3,Goulburn,Goulburn_3_CCAM_pointing,8146813.841,-272035.0613,-4501.313572,-4.589396026,137.4416772
14,Goulburn_5,Goulburn,Goulburn_5_CCAM_pointing,8146813.885,-272035.4313,-4501.299545,-4.589402268,137.4416779
14,Goulburn_6,Goulburn,Goulburn_6_CCAM_pointing,8146813.951,-272034.8219,-4501.321058,-4.589391988,137.441679
15,Douglas,Douglas,Douglas_CCAM_pointing,8146811.142,-272041.1391,-4500.854368,-4.589498562,137.4416316
15,Goulburn_4,Goulburn,Goulburn_4_CCAM_pointing,8146814.053,-272035.2144,-4501.31181,-4.58939861,137.4416807
15,Mara,Mara,Mara_CCAM_pointing,8146815.179,-272041.4123,-4500.95365,-4.589503171,137.4416997
15,Stark,Stark,Stark_CCAM_pointing,8146810.832,-272042.7745,-4500.727577,-4.589526153,137.4416264
19,Beechey,Beechey,Beechey_CCAM_pointing_NEW,8146813.79,-272040.9812,-4500.815476,-4.589495899,137.4416763
19,Goulburn_7,Goulburn,Goulburn_7_ccam_pointing,8146813.769,-272035.4544,-4500.984568,-4.589402658,137.4416759
19,Goulburn_8,Goulburn,Goulburn_8_ccam_pointing,8146813.714,-272035.458,-4501.010072,-4.589402719,137.441675
19,Mara_1,Mara,Mara_1_ChemCam_Offset,8146815.229,-272041.6079,-4500.777087,-4.589506473,137.4417006
19,Peacock_Hills,Peacock_Hills,Peacock_hills_ccam_pointing,8146814.218,-272034.5795,-4501.120117,-4.589387898,137.4416835
22,Murky,Murky,Murky CCAM,8146813.186,-272038.6742,-4501.085767,-4.589456978,137.4416661
22,Preble,Preble,Preble_CCAM,8146812.449,-272037.538,-4501.077596,-4.58943781,137.4416537
22,Thor_Lake,Thor_Lake,Thor Lake CCAM,8146815.833,-272040.0512,-4501.124788,-4.589480209,137.4417108
27,Link,Link,Link_CCAM_pointing,8146864.141,-272055.6665,-4503.085235,-4.589743649,137.4425258
32,Pekanatui,Pekanatui,Pekanatui_CCAM_pointing,8146876.654,-272077.7224,-4503.376979,-4.590115745,137.4427369
32,Taltheilei,Taltheilei,Taltheilei_CCam_pointing,8146878.187,-272077.2405,-4503.449139,-4.590107615,137.4427627
33,Beaulieu,Beaulieu,Beaulieu_CCAM_pointing,8146878.089,-272076.4376,-4503.461078,-4.590094071,137.4427611
